id,name,county,state,country,latitude,longitude,watershed,stream,form,wwd_url
OR-3759,Lower Dickey Creek Falls,Clackamas County,Oregon,United States,44.93167,-122.05111,Clackamas River,Dickey Creek,,https://www.worldwaterfalldatabase.com/waterfall/Lower-Dickey-Creek-Falls-3759
OR-3762,Clear Creek Falls,Clackamas County,Oregon,United States,45.41111,-121.8775,Sandy River,Clear Creek,,https://www.worldwaterfalldatabase.com/waterfall/Clear-Creek-Falls-3762
OR-3763,Lower Lost Creek Falls,Clackamas County,Oregon,United States,45.3545,-121.78712,Sandy River,Lost Creek,,https://www.worldwaterfalldatabase.com/waterfall/Lower-Lost-Creek-Falls-3763
OR-3764,Upper Bad Banks Falls,Marion County,Oregon,United States,44.78529,-122.34005,Santiam River,Bad Banks Creek,,https://www.worldwaterfalldatabase.com/waterfall/Upper-Bad-Banks-Falls-3764
OR-3765,Butcherknife Falls,Lane County,Oregon,United States,43.54011,-122.44678,Willamette River,,,https://www.worldwaterfalldatabase.com/waterfall/Butcherknife-Falls-3765
OR-3766,Chuckle Springs Falls,Lane County,Oregon,United States,43.48223,-122.25476,Willamette River,,,https://www.worldwaterfalldatabase.com/waterfall/Chuckle-Springs-Falls-3766
OR-3767,Ninth Falls,Lane County,Oregon,United States,43.84145,-122.39578,Willamette River,Ninth Creek,,https://www.worldwaterfalldatabase.com/waterfall/Ninth-Falls-3767
OR-3768,Upper Butte Creek Falls,Marion County,Oregon,United States,44.92308,-122.51167,Molalla River,Butte Creek,Vertical Block,https://www.worldwaterfalldatabase.com/waterfall/Upper-Butte-Creek-Falls-3768
OR-3769,Whispering Falls,Linn County,Oregon,United States,44.68565,-122.00819,Santiam River,Misery Creek,Horsetail,https://www.worldwaterfalldatabase.com/waterfall/Whispering-Falls-3769
OR-3770,Forgotten Falls,Clackamas County,Oregon,United States,45.40944,-121.84417,Sandy River,,,https://www.worldwaterfalldatabase.com/waterfall/Forgotten-Falls-3770
OR-3771,Monument Falls,Linn County,Oregon,United States,44.68932,-122.33551,Santiam River,,,https://www.worldwaterfalldatabase.com/waterfall/Monument-Falls-3771
OR-3772,Green Mountain Ridge Falls,Linn County,Oregon,United States,44.27979,-122.46718,Santiam River,,,https://www.worldwaterfalldatabase.com/waterfall/Green-Mountain-Ridge-Falls-3772
OR-3773,Wiley Creek Falls,Linn County,Oregon,United States,44.29121,-122.46066,Santiam River,Wiley Creek,,https://www.worldwaterfalldatabase.com/waterfall/Wiley-Creek-Falls-3773
OR-3774,Wolf Creek Falls,Linn County,Oregon,United States,44.38639,-122.46056,Santiam,Wolf Creek,,https://www.worldwaterfalldatabase.com/waterfall/Wolf-Creek-Falls-3774
OR-3775,Cow Swamp Falls,Lane County,Oregon,United States,43.95028,-121.97585,McKenzie River,,,https://www.worldwaterfalldatabase.com/waterfall/Cow-Swamp-Falls-3775
